20210331 15:00,1227800,1228800,1220000,1221500,34293947
20210401 09:00,1236500,1241800,1232650,1236000,12932866
20210401 10:00,1235800,1236650,1230000,1234550,11754774
20210401 11:00,1234500,1237000,1228900,1229000,9374448
20210401 12:00,1229000,1234400,1228400,1231800,6712499
20210401 13:00,1231800,1232500,1226200,1226700,7053210
20210401 14:00,1226800,1229600,1225700,1226800,6413678
20210401 15:00,1226700,1230000,1224900,1230000,15999331
20210405 09:00,1236800,1251300,1230700,1248200,14706030
20210405 10:00,1248100,1256200,1245600,1251700,16296400
20210405 11:00,1251700,1255700,1248300,1253250,10087795
20210405 12:00,1253300,1259600,1253100,1255700,9564368
20210405 13:00,1255700,1260800,1255300,1260500,7325472
20210405 14:00,1260500,1261600,1256000,1256350,8016436
20210405 15:00,1256300,1260000,1253200,1259000,19027132
20210406 09:00,1265000,1266400,1256500,1265700,13117493
20210406 10:00,1265700,1269600,1259800,1265700,14571201
20210406 11:00,1265700,1271200,1265000,1269200,9837008
20210406 12:00,1269250,1269400,1262200,1262300,7153072
20210406 13:00,1262300,1262800,1257400,1261850,7829767
20210406 14:00,1261900,1266050,1261111,1265500,6495901
20210406 15:00,1265500,1266700,1260000,1262100,16427757
20210407 09:00,1258800,1262100,1251400,1261200,11526895
20210407 10:00,1261200,1272500,1260450,1268900,13715590
20210407 11:00,1268900,1274700,1267500,1273200,11417542
20210407 12:00,1273200,1274800,1270300,1270900,8778858
20210407 13:00,1270800,1273000,1268600,1272500,7019230
20210407 14:00,1272500,1278116,1272400,1275800,9314663
20210407 15:00,1275800,1279200,1272100,1279000,18448317
20210408 09:00,1290000,1300000,1285200,1299790,15943445
20210408 10:00,1299800,1300700,1290200,1292500,16699883
20210408 11:00,1292500,1296700,1290700,1295800,8342891
20210408 12:00,1295850,1299000,1294000,1298200,8326355
20210408 13:00,1298100,1302700,1297500,1299450,9872500
20210408 14:00,1299500,1303850,1299100,1302800,8389107
20210408 15:00,1302700,1303900,1299200,1303600,18029667
20210409 09:00,1299300,1310500,1294700,1308500,14451295
20210409 10:00,1308400,1314300,1306700,1307700,16162305
20210409 11:00,1307800,1315500,1305390,1314400,12058076
20210409 12:00,1314400,1318100,1312700,1317800,8204572
20210409 13:00,1317800,1326200,1317300,1324100,13750100
20210409 14:00,1324100,1325000,1320100,1322650,9968972
20210409 15:00,1322600,1330400,1319000,1329950,25586564
20210412 09:00,1323900,1328600,1313700,1316500,14943983
20210412 10:00,1316400,1322350,1310500,1311700,13384621
20210412 11:00,1311800,1314300,1306300,1309700,10669863
20210412 12:00,1309800,1318600,1308500,1318500,8085988
20210412 13:00,1318500,1322700,1314500,1315000,8439823
20210412 14:00,1315000,1318300,1309200,1310150,7528623
20210412 15:00,1310100,1315300,1308500,1312400,21215064
20210413 09:00,1324000,1336900,1319300,1331100,14364787
20210413 10:00,1331200,1336400,1327700,1331500,13452638
20210413 11:00,1331550,1336200,1328200,1330550,8593873
20210413 12:00,1330510,1346600,1330000,1341300,17484297
20210413 13:00,1341350,1345300,1340800,1342700,7645020
20210413 14:00,1342750,1345500,1340500,1343550,7825652
20210413 15:00,1343600,1346500,1342200,1344300,17586900
20210414 09:00,1350000,1350000,1334500,1340100,13369597
20210414 10:00,1340200,1340500,1332400,1332800,12560780
20210414 11:00,1332900,1334800,1325700,1333300,10909012
20210414 12:00,1333300,1336100,1329800,1335300,6740630
20210414 13:00,1335300,1335750,1325700,1326800,5530863
20210414 14:00,1326800,1329600,1316500,1322900,13954613
20210414 15:00,1322900,1326500,1318200,1320300,19618706
20210415 09:00,1338600,1349500,1336500,1343500,14715561
20210415 10:00,1343600,1350000,1340700,1343100,15171243
20210415 11:00,1343100,1346900,1340500,1343100,8888853
20210415 12:00,1343100,1345900,1337000,1345700,10433075
20210415 13:00,1345700,1347600,1338077,1345800,8100601
20210415 14:00,1345900,1346900,1341300,1342800,6519145
20210415 15:00,1342700,1345100,1339400,1345000,20762380
20210416 09:00,1345100,1346700,1332800,1334200,14944869
20210416 10:00,1334100,1346265,1333600,1339700,14347083
20210416 11:00,1339800,1340900,1336700,1338300,8804736
20210416 12:00,1338250,1341300,1337400,1337890,7317203
20210416 13:00,1337850,1339150,1335300,1335350,5363333
20210416 14:00,1335300,1341200,1335200,1340000,7827740
20210416 15:00,1340000,1341800,1338800,1341600,21283710
20210419 09:00,1335300,1353300,1333400,1352200,13731153
20210419 10:00,1352300,1354700,1341500,1348000,16074125
20210419 11:00,1348000,1350900,1342500,1343800,10575963
20210419 12:00,1343700,1345350,1337200,1340500,9949295
20210419 13:00,1340600,1346700,1339600,1345600,6193584
20210419 14:00,1345500,1348200,1343300,1345800,8089382
20210419 15:00,1345800,1349400,1341400,1348400,15598048
20210420 09:00,1350000,1355300,1344400,1352200,12301480
20210420 10:00,1352150,1354400,1334900,1336800,15338946
20210420 11:00,1336750,1338000,1322729,1331500,14941031
20210420 12:00,1331600,1337300,1331100,1335600,7869760
20210420 13:00,1335600,1338200,1323600,1331550,11910462
20210420 14:00,1331600,1331700,1318100,1319900,11014423
